well,n,flag_nostruct,flag_floor,flag_confluent,flag_any,flag_fatal,focus_med,floor_off,terr,bgdrift,coculture,compound,tcells,excluded,reason
A01,13,0.0,0.0,0.0,0.0,0.0,173.19,-0.8,0.04378,6.536,PDA,control,no,False,
A02,13,0.0,0.0,0.0,0.0,0.0,293.1,-0.8,0.46836,6.945,PDA+CAF,control,no,False,
A03,13,0.0,0.0,0.0,0.0,0.0,337.32,-0.8,0.38174,7.353,PDA+MAC,control,no,False,
A04,13,0.0,0.0,0.0,0.0,0.0,374.17,-0.8,0.46953,6.945,PDA+CAF+MAC,control,no,False,
A05,13,0.0,0.0,0.0,0.0,0.0,185.58,-0.8,0.08996,7.353,PDA,control,no,False,
A06,13,0.0,0.0,0.0,0.0,0.0,348.52,-0.2,0.58978,8.17,PDA+CAF,low kras+Src,no,False,
A07,13,0.0,0.0,0.0,0.0,0.0,337.78,-0.8,0.30782,35.54,PDA+MAC,high kras+Src,yes,False,
A08,13,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,661.52,-2.2,0.33714,35.131,PDA+CAF+MAC,high kras+Src,yes,False,
A10,13,1.0,0.0,0.0,1.0,1.0,8.45,-0.2,0.00028,0.0,PDA+CAF,Dye,no,True,nostruct
A11,13,1.0,0.0,0.0,1.0,1.0,10.58,-0.2,0.0,0.817,PDA+MAC,Dye,no,True,nostruct
A12,13,0.0,0.0,0.0,0.0,0.0,286.31,-0.2,0.19723,4.085,PDA+CAF+MAC,Dye,no,False,
B01,13,0.0,0.0,0.0,0.0,0.0,325.16,-0.8,0.19608,20.426,PDA,control,yes,False,
B02,13,0.0,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,394.86,-0.8,0.46569,17.975,PDA+CAF,control,yes,False,
B03,13,0.0,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,532.61,-0.2,0.33229,18.791,PDA+MAC,control,yes,False,
B04,13,0.0,0.0,0.0,0.0,0.0,505.06,-0.8,0.48864,18.383,PDA+CAF+MAC,control,yes,False,
B05,13,0.0,0.0,0.0,0.0,0.0,289.85,-0.2,0.23245,22.876,PDA,low kras+Src,yes,False,
B06,13,0.0,0.0,0.0,0.0,0.0,529.46,-0.8,0.54755,26.552,PDA+CAF,Src low,yes,False,
B07,13,0.0,0.0,0.0,0.0,0.0,313.57,-0.8,0.35202,15.932,PDA+MAC,kras low,no,False,
B08,13,0.0,0.0,0.0,0.0,0.0,353.9,-0.8,0.4763,15.932,PDA+CAF+MAC,kras low,no,False,
B10,13,0.6923076923076923,0.0,0.0,0.6923076923076923,0.6923076923076923,26.6,-0.8,0.0,0.409,PDA+CAF,Dye,no,True,nostruct
B11,13,0.0,0.0,0.0,0.0,0.0,165.62,-0.2,0.13996,2.043,PDA+MAC,Dye,no,False,
B12,13,0.0,0.0,0.0,0.0,0.0,230.75,-0.2,0.18863,2.043,PDA+CAF+MAC,Dye,no,False,
C01,13,0.0,0.0,0.0,0.0,0.0,170.75,-0.2,0.17261,6.945,PDA,control,no,False,
C02,13,0.0,0.0,0.0,0.0,0.0,390.61,-0.8,0.31299,6.536,PDA+CAF,control,no,False,
C03,13,0.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,528.65,-0.2,0.33542,29.821,PDA+MAC,kras low,yes,False,
C04,13,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,531.79,-0.8,0.57797,29.821,PDA+CAF+MAC,kras low,yes,False,
C05,13,0.0,0.0,0.0,0.0,0.0,269.15,-0.2,0.17726,33.089,PDA,high kras+Src,yes,False,
C06,13,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,564.83,-0.2,0.4416,29.004,PDA+CAF,Src high,yes,False,
C07,13,0.0,0.0,0.0,0.0,0.0,311.79,-0.8,0.37115,16.341,PDA+MAC,kras low,no,False,
C08,13,0.0,0.0,0.0,0.0,0.0,410.07,-0.8,0.42738,15.524,PDA+CAF+MAC,kras low,no,False,
C10,13,0.0,0.0,0.0,0.0,0.0,189.13,-0.2,0.14481,1.634,PDA+CAF,Dye,no,False,
C11,13,0.0,0.0,0.0,0.0,0.0,174.27,-0.2,0.15561,1.634,PDA+MAC,Dye,no,False,
C12,13,0.0,0.0,0.0,0.0,0.0,178.24,-0.2,0.12169,2.043,PDA+CAF+MAC,Dye,no,False,
D01,13,0.0,0.0,0.0,0.0,0.0,249.07,-0.2,0.21365,33.906,PDA,kras low,yes,False,
D02,13,0.0,0.0,0.0,0.0,0.0,375.89,-0.8,0.1947,8.17,PDA+CAF,control,no,False,
D03,13,0.0,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,444.27,15.8,0.9474,26.961,PDA+MAC,kras high,yes,True,floor
D04,13,0.0,0.0,0.0,0.0,0.0,591.78,-0.8,0.55112,28.187,PDA+CAF+MAC,kras high,yes,False,
D05,13,0.0,0.0,0.0,0.0,0.0,168.99,-0.8,0.09429,8.17,PDA,low kras+Src,no,False,
D06,13,0.0,0.0,0.0,0.0,0.0,323.66,-0.8,0.51636,7.761,PDA+CAF,low kras+Src,no,False,
D07,13,0.0,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,470.35,-0.2,0.36958,28.186,PDA+MAC,Src low,yes,False,
D08,13,0.0,0.0,0.0,0.0,0.0,492.85,-0.8,0.44194,26.961,PDA+CAF+MAC,Src low,yes,False,
D10,13,0.0,0.0,0.0,0.0,0.0,229.7,-0.2,0.16566,2.043,PDA+CAF,Dye,no,False,
D11,13,0.0,0.0,0.0,0.0,0.0,187.1,-0.2,0.18286,1.634,PDA+MAC,Dye,no,False,
D12,13,0.0,0.0,0.0,0.0,0.0,210.82,-0.2,0.18911,2.043,PDA+CAF+MAC,Dye,no,False,
E01,13,0.0,0.0,0.0,0.0,0.0,238.81,-0.8,0.15761,31.047,PDA,kras high,yes,False,
E02,13,0.0,0.0,0.0,0.0,0.0,271.7,-0.8,0.32671,15.524,PDA+CAF,kras low,no,False,
E03,13,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,370.45,-0.8,0.36966,13.889,PDA+MAC,Src low,no,False,
E04,13,0.0,0.0,0.0,0.0,0.0,427.79,-1.2,0.51135,12.663,PDA+CAF+MAC,Src low,no,False,
E05,13,0.0,0.0,0.0,0.0,0.0,207.91,-0.8,0.10239,6.536,PDA,control,no,False,
E06,13,0.0,0.0,0.0,0.0,0.0,474.29,-2.2,0.36648,32.272,PDA+CAF,high kras+Src,yes,False,
E07,13,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,332.61,-0.8,0.31806,7.761,PDA+MAC,low kras+Src,no,False,
E08,13,0.0,0.0,0.0,0.0,0.0,412.11,-0.8,0.56685,12.664,PDA+CAF+MAC,Src low,no,False,
E10,13,0.0,0.0,0.0,0.0,0.0,230.05,-0.2,0.16433,1.634,PDA+CAF,Dye,no,False,
E11,13,0.0,0.0,0.0,0.0,0.0,174.07,-0.2,0.11205,2.043,PDA+MAC,Dye,no,False,
E12,13,0.0,0.0,0.0,0.0,0.0,164.17,-0.2,0.21626,2.043,PDA+CAF+MAC,Dye,no,False,
F01,13,0.0,0.0,0.0,0.0,0.0,342.89,-0.2,0.21184,31.046,PDA,Src low,yes,False,
F02,13,0.0,0.0,0.0,0.0,0.0,396.68,-0.8,0.58355,26.553,PDA+CAF,kras low,yes,False,
F03,13,0.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,412.01,-0.2,0.31396,31.863,PDA+MAC,Src high,yes,False,
F04,13,0.0,0.0,0.0,0.0,0.0,601.54,-1.2,0.62526,33.497,PDA+CAF+MAC,Src high,yes,False,
F05,13,0.0,0.0,0.0,0.0,0.0,150.53,-0.8,0.07714,16.341,PDA,kras low,no,False,
F06,13,0.0,0.0,0.0,0.0,0.0,292.19,-0.8,0.444,15.115,PDA+CAF,kras low,no,False,
F07,13,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,290.73,-0.2,0.3732,7.762,PDA+MAC,low kras+Src,no,False,
F08,13,0.0,0.0,0.0,0.0,0.0,467.25,-0.8,0.49747,7.353,PDA+CAF+MAC,low kras+Src,no,False,
F10,13,0.0,0.0,0.0,0.0,0.0,145.29,-0.2,0.01663,1.634,PDA+CAF,Dye,no,False,
F11,13,0.0,0.0,0.0,0.0,0.0,128.11,-0.2,0.01366,1.226,PDA+MAC,Dye,no,False,
F12,13,0.0,0.0,0.0,0.0,0.0,133.51,-0.2,0.0417,2.451,PDA+CAF+MAC,Dye,no,False,
G01,13,0.0,0.0,0.0,0.0,0.0,251.38,-0.2,0.20087,35.949,PDA,Src high,yes,False,
G02,13,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,421.63,-0.8,0.56389,28.595,PDA+CAF,kras high,yes,False,
G03,13,0.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,387.3,-0.2,0.30296,22.468,PDA+MAC,low kras+Src,yes,False,
G04,13,0.0,0.0,0.0,0.0,0.0,443.81,-0.8,0.59476,22.876,PDA+CAF+MAC,low kras+Src,yes,False,
G05,13,0.0,0.0,0.0,0.0,0.0,167.05,-0.8,0.16816,5.719,PDA,control,no,False,
G06,13,0.0,0.0,0.0,0.0,0.0,587.24,-0.8,0.51997,22.468,PDA+CAF,low kras+Src,yes,False,
G07,13,0.0,0.0,0.0,0.0,0.0,357.47,-0.2,0.39698,17.566,PDA+MAC,kras low,no,False,
G08,13,0.0,0.0,0.0,0.0,0.0,471.82,-0.8,0.51203,7.761,PDA+CAF+MAC,low kras+Src,no,False,
G10,13,0.0,0.0,0.0,0.0,0.0,148.58,-0.2,0.01101,2.042,PDA+CAF,Dye,no,False,
G11,13,0.0,0.0,0.0,0.0,0.0,125.73,-0.2,0.00803,1.226,PDA+MAC,Dye,no,False,
G12,13,0.0,0.0,0.0,0.0,0.0,141.6,-0.2,0.03487,1.226,PDA+CAF+MAC,Dye,no,False,
H01,13,0.0,0.0,0.0,0.0,0.0,162.87,-0.8,0.05635,7.761,PDA,control,no,False,
H02,13,0.0,0.0,0.0,0.0,0.0,270.96,-0.8,0.23715,15.115,PDA+CAF,Src low,no,False,
H03,13,0.0,0.0,0.0,0.0,0.0,161.45,-0.2,0.20206,0.0,PDA+MAC,control,no,False,
H04,13,0.0,0.0,0.0,0.0,0.0,868.19,-0.8,0.2748,11.438,PDA+CAF+MAC,control,no,False,
H05,13,0.0,0.0,0.0,0.0,0.0,158.16,-0.8,0.07663,8.987,PDA,low kras+Src,no,False,
H06,13,0.0,0.0,0.0,0.0,0.0,504.0,-0.8,0.36475,9.395,PDA+CAF,low kras+Src,no,False,
H07,13,0.0,0.0,0.0,0.0,0.0,253.3,-0.8,0.183,8.17,PDA+MAC,low kras+Src,no,False,
H08,13,0.0,0.0,0.0,0.0,0.0,468.93,-0.8,0.21096,8.578,PDA+CAF+MAC,low kras+Src,no,False,
H10,13,0.0,0.0,0.0,0.0,0.0,66.12,-0.8,0.00457,1.634,PDA+CAF,Dye,no,False,
H11,13,0.0,0.0,0.0,0.0,0.0,65.84,-0.8,0.00706,1.226,PDA+MAC,Dye,no,False,
H12,13,0.0,0.0,0.0,0.0,0.0,59.46,-0.2,0.00424,0.817,PDA+CAF+MAC,Dye,no,False,
