band_px,band_um,T_added,no_T
<-54,<-150,0.6220137198883774,0.4539248347141448
-54…-36,-150…-100,0.931923356562586,0.9533880522372191
-36…-18,-100…-50,1.0075666988054743,0.8161188330873291
-18…-7,-50…-20,1.1844087640270444,0.9057059442779657
-7…0,-20…0,1.2589065126717152,0.9553737223282563
0…7,0…20,1.2840042098019975,0.9577914883816057
7…18,20…50,1.2642106620920337,0.983031362079465
18…36,50…100,1.146534708205271,1.0601168505669976
36…71,100…200,0.9646819778246222,1.146327017805227
71…143,200…400,0.4954821425406189,1.2354832220049137
>143,>400,0.12680151178545646,1.3124302463289648
