well,coculture,compound,orange_area_frac,orange_enrich_organoid,orange_frac_in_organoid,orange_median_signed_dist_um,bf_terr_frac,n_organoids_scored
A01,PDA,control,0.009559,1.108,0.0636,138.5,0.05775,44
A02,PDA+CAF,control,0.004234,0.213,0.2098,48.9,0.55488,21
A03,PDA+MAC,control,0.002634,0.711,0.4213,20.4,0.50596,17
A04,PDA+CAF+MAC,control,0.001731,0.333,0.2012,43.4,0.43065,29
A05,PDA,control,0.008553,1.376,0.1788,57.4,0.13657,53
A06,PDA+CAF,low kras+Src,0.004583,2.082,0.7555,-111.9,0.59739,13
A07,PDA+MAC,high kras+Src,0.025514,1.139,0.3077,22.4,0.28063,52
A08,PDA+CAF+MAC,high kras+Src,0.008156,0.731,0.2191,37.6,0.27727,62
A12,PDA+CAF+MAC,Dye,0.008216,1.135,0.3137,30.3,0.28714,49
B01,PDA,control,0.031502,0.892,0.2272,36.4,0.24794,62
B02,PDA+CAF,control,0.022477,0.56,0.45,11.2,0.59359,20
B03,PDA+MAC,control,0.017277,0.787,0.9379,-257.4,0.95046,1
B04,PDA+CAF+MAC,control,0.008493,0.495,0.2284,45.5,0.37415,25
B05,PDA,low kras+Src,0.031554,0.995,0.3704,21.9,0.37167,44
B06,PDA+CAF,Src low,0.017142,0.564,0.3384,20.2,0.4756,25
B07,PDA+MAC,kras low,0.003305,0.887,0.3426,25.2,0.37016,45
B08,PDA+CAF+MAC,kras low,0.000611,0.093,0.0358,112.7,0.28503,34
B11,PDA+MAC,Dye,0.006326,1.06,0.2688,39.6,0.25751,36
B12,PDA+CAF+MAC,Dye,0.006637,1.203,0.3301,23.9,0.29059,25
C01,PDA,control,0.00626,0.785,0.1953,65.0,0.23618,46
C02,PDA+CAF,control,0.007505,1.158,0.3958,37.3,0.36123,36
C03,PDA+MAC,kras low,0.017832,0.481,0.9023,-299.4,0.95046,1
C04,PDA+CAF+MAC,kras low,0.012826,1.244,0.372,31.9,0.3225,28
C05,PDA,high kras+Src,0.025201,1.55,0.341,20.2,0.25026,63
C06,PDA+CAF,Src high,0.019891,1.341,0.4924,2.8,0.41984,28
C07,PDA+MAC,kras low,0.001812,0.618,0.2253,38.9,0.32016,53
C08,PDA+CAF+MAC,kras low,0.001165,0.083,0.0381,190.0,0.32396,34
C10,PDA+CAF,Dye,0.008544,1.136,0.3729,37.5,0.3436,17
C11,PDA+MAC,Dye,0.005839,1.392,0.4187,16.8,0.341,23
C12,PDA+CAF+MAC,Dye,0.007319,1.233,0.2866,67.2,0.24573,29
D01,PDA,kras low,0.028669,0.973,0.2211,36.4,0.22581,69
D02,PDA+CAF,control,0.007634,0.912,0.2752,36.4,0.29397,36
D04,PDA+CAF+MAC,kras high,0.004783,1.05,0.4316,11.2,0.41964,27
D05,PDA,low kras+Src,0.007987,1.021,0.1588,57.6,0.15596,65
D06,PDA+CAF,low kras+Src,0.004225,0.981,0.5442,-16.8,0.54898,19
D07,PDA+MAC,Src low,0.020901,1.134,0.2717,30.1,0.24757,59
D08,PDA+CAF+MAC,Src low,0.009055,0.732,0.2438,70.0,0.30594,19
D10,PDA+CAF,Dye,0.010016,1.329,0.3102,33.6,0.25288,29
D11,PDA+MAC,Dye,0.006891,1.212,0.3826,22.4,0.3382,27
D12,PDA+CAF+MAC,Dye,0.004756,1.692,0.397,29.7,0.28004,25
E01,PDA,kras high,0.027798,1.087,0.2096,39.2,0.19614,85
E02,PDA+CAF,kras low,0.005967,1.265,0.4495,16.8,0.39223,38
E03,PDA+MAC,Src low,0.002631,0.483,0.9026,-167.9,0.95046,1
E04,PDA+CAF+MAC,Src low,0.000985,0.185,0.1019,81.2,0.38074,24
E05,PDA,control,0.007599,1.134,0.1644,62.9,0.1478,64
E06,PDA+CAF,high kras+Src,0.016078,1.496,0.4241,11.2,0.3299,43
E07,PDA+MAC,low kras+Src,0.002528,0.311,0.8566,-190.3,0.95046,1
E08,PDA+CAF+MAC,Src low,0.000747,0.129,0.0713,107.1,0.37374,26
E10,PDA+CAF,Dye,0.008576,1.222,0.3805,22.4,0.33456,25
E11,PDA+MAC,Dye,0.00689,0.912,0.2151,64.4,0.23104,29
E12,PDA+CAF+MAC,Dye,0.005135,1.111,0.3961,22.5,0.37119,40
F01,PDA,Src low,0.031248,1.087,0.2723,28.0,0.25618,58
F02,PDA+CAF,kras low,0.017091,0.749,0.4368,11.2,0.50883,26
F03,PDA+MAC,Src high,0.016884,0.538,0.9117,-246.2,0.95046,1
F04,PDA+CAF+MAC,Src high,0.009618,0.213,0.1529,76.4,0.45838,20
F05,PDA,kras low,0.006391,1.625,0.1662,70.6,0.10921,51
F06,PDA+CAF,kras low,0.002579,0.77,0.4668,8.4,0.53202,32
F07,PDA+MAC,low kras+Src,0.003031,0.277,0.8416,-109.1,0.95046,1
F08,PDA+CAF+MAC,low kras+Src,0.001222,0.192,0.0782,123.2,0.30648,18
F10,PDA+CAF,Dye,0.019441,1.118,0.0176,193.0,0.01581,22
F11,PDA+MAC,Dye,0.015699,1.061,0.0136,241.3,0.01285,19
F12,PDA+CAF+MAC,Dye,0.017855,1.082,0.0549,96.6,0.05095,51
G01,PDA,Src high,0.02209,1.012,0.2456,37.5,0.24339,59
G02,PDA+CAF,kras high,0.016779,0.673,0.2766,46.6,0.36225,26
G03,PDA+MAC,low kras+Src,0.014513,0.504,0.9064,-257.4,0.95046,1
G04,PDA+CAF+MAC,low kras+Src,0.009036,0.239,0.1698,83.8,0.46065,20
G05,PDA,control,0.005888,1.157,0.2218,48.1,0.19767,64
G06,PDA+CAF,low kras+Src,0.014523,0.552,0.3326,40.4,0.47471,21
G07,PDA+MAC,kras low,0.002122,0.922,0.3861,22.4,0.40556,29
G08,PDA+CAF+MAC,low kras+Src,0.001749,1.047,0.3284,47.6,0.31842,13
G10,PDA+CAF,Dye,0.0208,1.394,0.0119,225.9,0.00858,19
G11,PDA+MAC,Dye,0.014379,0.593,0.0046,446.8,0.00775,15
G12,PDA+CAF+MAC,Dye,0.011515,0.83,0.0368,98.9,0.04404,60
H01,PDA,control,0.008489,1.181,0.1003,98.9,0.08628,43
H02,PDA+CAF,Src low,0.009311,1.676,0.4873,6.3,0.36194,23
H03,PDA+MAC,control,0.0,,,,0.24237,50
H04,PDA+CAF+MAC,control,0.003985,1.573,0.4185,25.3,0.31398,45
H05,PDA,low kras+Src,0.010158,1.288,0.1226,77.9,0.09784,54
H06,PDA+CAF,low kras+Src,0.003977,1.224,0.5956,-25.2,0.54603,17
H07,PDA+MAC,low kras+Src,0.009213,1.124,0.2456,34.0,0.22453,43
H08,PDA+CAF+MAC,low kras+Src,0.002953,1.413,0.3774,19.6,0.30029,33
H10,PDA+CAF,Dye,0.008429,0.0,0.0,1404.4,0.00401,5
H11,PDA+MAC,Dye,0.007249,0.232,0.0014,822.0,0.00607,11
H12,PDA+CAF+MAC,Dye,0.004196,1.385,0.0046,789.8,0.0033,5
