feature,auc,abs_auc,median_pos,median_neg,p,q
bf_terr_frac,1.0,1.0,0.53202,0.13657,0.00041229480206169127,0.0017178950085903805
bf_fine_frac,1.0,1.0,0.33313,0.10807,0.00041229480206169127,0.0017178950085903805
bf_depth_mean,1.0,1.0,19.27,5.51,0.00041229480206169127,0.0017178950085903805
bf_n_tiny,0.0,1.0,21.0,34.0,0.0003982595789976005,0.0017178950085903805
bf_depth_p99,1.0,1.0,73.89,45.08,0.00041229480206169127,0.0017178950085903805
n_organoids_scored,0.0,1.0,23.0,53.0,0.0004066392747530236,0.0017178950085903805
bf_largest_frac,0.9753086419753086,0.9753086419753086,0.904,0.222,0.0007922682038502908,0.0028295292994653244
bf_n_small,0.06172839506172839,0.9382716049382716,8.0,25.0,0.0019445039062747278,0.006076574707108524
green_area_frac,0.9135802469135802,0.9135802469135802,0.030812,0.010853,0.003568628436933387,0.009912856769259409
orange_obj_med_int,0.12345679012345678,0.8765432098765432,243.489,258.716,0.008071487425268009,0.020178718563170023
bf_fine_med_px,0.1728395061728395,0.8271604938271605,228.5,359.5,0.021684111364991994,0.049282071284072713
orange_area_frac,0.18518518518518517,0.8148148148148149,0.004583,0.007987,0.0272753837615853,0.05682371616996937
bf_n_mid,0.24074074074074073,0.7592592592592593,1.0,3.0,0.06305752973410979,0.12126448025790343
orange_objfrac_ge50,0.7530864197530864,0.7530864197530864,0.3311,0.2848,0.07723574482601518,0.13792097290359853
bf_particles,0.7407407407407407,0.7407407407407407,3336.0,2296.0,0.0933976745287926,0.14593386645123846
bf_obj_total,0.7407407407407407,0.7407407407407407,4444.0,3148.0,0.0933976745287926,0.14593386645123846
bf_particle_area_frac,0.7037037037037037,0.7037037037037037,0.046397,0.033607,0.1577043874630777,0.23191821685746716
bf_solidity,0.3395061728395062,0.6604938271604939,0.767,0.832,0.26894750919779353,0.3735382072191577
organoid_med_diam_um,0.36419753086419754,0.6358024691358024,104.2,104.5,0.35358840642707257,0.46524790319351655
bf_particle_med_px,0.3888888888888889,0.6111111111111112,16.0,18.0,0.44481171773706996,0.5560146471713374
orange_int_mean,0.3950617283950617,0.6049382716049383,359.676,361.227,0.47992869214595724,0.5713436811261395
nir_area_frac,0.5802469135802469,0.5802469135802469,0.002706,0.001796,0.5962416305866567,0.6775473074848372
orange_objfrac_lt10,0.4382716049382716,0.5617283950617284,0.0508,0.0511,0.6909509366043816,0.751033626743893
orange_obj_med_px,0.4567901234567901,0.5432098765432098,19.0,20.0,0.7871842287447913,0.7910815129207817
orange_enrich_organoid,0.4567901234567901,0.5432098765432098,1.158,1.157,0.7910815129207817,0.7910815129207817
