feature,auc,abs_auc,median_pos,median_neg,p,q
orange_area_frac,0.06790123456790123,0.9320987654320988,0.001967,0.006948,1.0167292260121943e-05,0.00025418230650304857
nir_area_frac,0.1388888888888889,0.8611111111111112,0.000334,0.0021495,0.00022789861951546706,0.0028487327439433384
orange_obj_med_int,0.15432098765432098,0.845679012345679,210.376,248.4265,0.0004188214509665066,0.003490178758054222
orange_enrich_organoid,0.1830065359477124,0.8169934640522876,0.483,1.1575,0.0014476671572032068,0.009047919732520043
orange_int_mean,0.22839506172839505,0.7716049382716049,305.3855,360.55999999999995,0.005633616187076086,0.028134559820919818
orange_objfrac_lt10,0.7647058823529411,0.7647058823529411,0.0655,0.051000000000000004,0.00787767674985755,0.028134559820919818
bf_particle_med_px,0.23919753086419754,0.7608024691358024,14.5,17.5,0.007389628186072443,0.028134559820919818
bf_depth_mean,0.7561728395061729,0.7561728395061729,19.09,8.885,0.009049340514549248,0.0282791891079664
bf_n_tiny,0.2839506172839506,0.7160493827160495,19.5,26.5,0.027685225255595265,0.07690340348776463
orange_obj_med_px,0.2916666666666667,0.7083333333333333,17.0,19.75,0.03244659804194319,0.08030477244414846
bf_largest_frac,0.7067901234567902,0.7067901234567902,0.8955,0.4525,0.03533409987542532,0.08030477244414846
n_organoids_scored,0.3055555555555556,0.6944444444444444,29.0,40.5,0.04780826338990978,0.09960054872897871
bf_depth_p99,0.6790123456790124,0.6790123456790124,71.34,55.480000000000004,0.068877950232121,0.12299633970021606
bf_fine_frac,0.6790123456790124,0.6790123456790124,0.296905,0.196985,0.068877950232121,0.12299633970021606
organoid_med_diam_um,0.6666666666666666,0.6666666666666666,116.7,104.35,0.09041550734225111,0.15069251223708516
bf_terr_frac,0.6635802469135802,0.6635802469135802,0.34706000000000004,0.265075,0.09662225878007026,0.1509722793438598
bf_n_small,0.3425925925925926,0.6574074074074074,12.0,17.5,0.1092742860447883,0.16069747947762986
orange_objfrac_ge50,0.37254901960784315,0.6274509803921569,0.2508,0.31145,0.20380751647257833,0.2830659951008032
bf_n_mid,0.38271604938271603,0.617283950617284,1.0,2.0,0.2268855156155165,0.2985335731783112
green_area_frac,0.5987654320987654,0.5987654320987654,0.0229465,0.0193645,0.31895098736180794,0.3986887342022599
bf_solidity,0.4243827160493827,0.5756172839506173,0.7595000000000001,0.799,0.44751116199170915,0.5327513833234633
bf_obj_total,0.5648148148148148,0.5648148148148148,4369.5,4154.5,0.5166025822370435,0.5870483889057312
bf_particles,0.5401234567901234,0.5401234567901234,3190.0,3112.5,0.692486835516168,0.7527030820827912
bf_particle_area_frac,0.5308641975308642,0.5308641975308642,0.043371,0.041323,0.7637449284635762,0.7955676338162253
bf_fine_med_px,0.4783950617283951,0.5216049382716049,268.0,311.5,0.8370532765183882,0.8370532765183882
