feature,auc,abs_auc,median_pos,median_neg,p,q
orange_area_frac,1.0,1.0,0.022283499999999998,0.006948,1.8666414960722612e-06,2.8093001758546596e-05
orange_objfrac_ge50,0.996031746031746,0.996031746031746,0.5786500000000001,0.31145,2.2474401406837277e-06,2.8093001758546596e-05
orange_obj_med_int,0.09126984126984126,0.9087301587301587,232.2735,248.4265,9.874586123931035e-05,0.000822882176994253
orange_int_mean,0.8611111111111112,0.8611111111111112,395.7965,360.55999999999995,0.0005864374610705297,0.003665234131690811
bf_fine_med_px,0.7896825396825397,0.7896825396825397,410.0,311.5,0.0058863266778423975,0.026425967832131126
organoid_med_diam_um,0.7817460317460317,0.7817460317460317,122.3,104.35,0.007399270992996715,0.026425967832131126
orange_obj_med_px,0.21825396825396826,0.7817460317460317,17.5,19.75,0.006794508871329174,0.026425967832131126
bf_solidity,0.2777777777777778,0.7222222222222222,0.751,0.799,0.03495748598847938,0.10180091141882093
orange_objfrac_lt10,0.27976190476190477,0.7202380952380952,0.0442,0.051000000000000004,0.036648328110775535,0.10180091141882093
nir_area_frac,0.3055555555555556,0.6944444444444444,0.001075,0.0021495,0.0654221209011591,0.15987513889633678
orange_enrich_organoid,0.30952380952380953,0.6904761904761905,0.984,1.1575,0.0711465105769615,0.15987513889633678
bf_n_mid,0.6845238095238095,0.6845238095238095,4.0,2.0,0.07674006667024166,0.15987513889633678
bf_particle_med_px,0.3273809523809524,0.6726190476190477,11.0,17.5,0.09809060692316308,0.18863578254454438
bf_obj_total,0.6706349206349206,0.6706349206349206,5445.0,4154.5,0.10643169625957863,0.1900566004635333
bf_n_tiny,0.373015873015873,0.626984126984127,21.0,26.5,0.23082580816398846,0.3847096802733141
bf_n_small,0.621031746031746,0.621031746031746,21.5,17.5,0.25375324542385436,0.3964894459747724
bf_terr_frac,0.6111111111111112,0.6111111111111112,0.346075,0.265075,0.2961900243021126,0.4355735651501656
bf_fine_frac,0.6031746031746031,0.6031746031746031,0.26266,0.196985,0.3327124107582685,0.4621005704975951
bf_particles,0.5873015873015873,0.5873015873015873,3374.0,3112.5,0.4140899083716224,0.5312352689814404
bf_particle_area_frac,0.4146825396825397,0.5853174603174602,0.0361125,0.041323,0.4249882151851523,0.5312352689814404
bf_depth_mean,0.5773809523809523,0.5773809523809523,13.934999999999999,8.885,0.4704073223741454,0.5600087171120778
green_area_frac,0.42857142857142855,0.5714285714285714,0.0217095,0.0193645,0.5061975947929811,0.5752245395374785
n_organoids_scored,0.5654761904761905,0.5654761904761905,43.5,40.5,0.5431050948863142,0.5903316248764284
bf_depth_p99,0.5238095238095238,0.5238095238095238,54.28,55.480000000000004,0.8345046614888972,0.8692756890509346
bf_largest_frac,0.49404761904761907,0.5059523809523809,0.3835,0.4525,0.9696953836351639,0.9696953836351639
