coculture,compound,n_pos,n_neg,median_pos,median_neg,log2_ratio
PDA,control,1,6,0.15972,0.11455499999999999,0.47950098630130383
PDA,kras low,1,1,0.08807,0.05463,0.6889472157568145
PDA,low kras+Src,1,2,0.06505,0.25093,-1.9476475720787683
PDA+CAF,Src low,1,1,0.01521,0.13231,-3.120746101796756
PDA+CAF,control,1,3,0.0004,0.03909,-6.607090444260175
PDA+CAF,kras low,1,2,0.01206,0.020705,-0.7796993508741199
PDA+CAF,low kras+Src,1,3,0.02297,0.20145,-3.1325433987667775
PDA+CAF+MAC,Src low,1,2,0.0,0.0018800000000000002,-10.877284133523196
PDA+CAF+MAC,control,1,2,0.00018,0.00013,0.4664228855457553
PDA+CAF+MAC,kras low,1,2,0.00058,0.0009400000000000001,-0.6956565593240079
PDA+CAF+MAC,low kras+Src,1,3,0.00028,0.00204,-2.8606341468117935
PDA+MAC,Src low,1,1,0.00856,0.0264,-1.62474134505265
PDA+MAC,control,1,2,0.00103,0.02226,-4.432402164503456
PDA+MAC,kras low,1,3,0.00096,0.01625,-4.079848255418458
PDA+MAC,low kras+Src,1,3,0.00869,0.02607,-1.5848518306504602
