coculture,compound,n_pos,n_neg,median_pos,median_neg,log2_ratio
PDA,control,1,6,0.005583,0.001621,1.7835251219923793
PDA,kras low,1,1,0.002777,0.000529,2.389982334530831
PDA,low kras+Src,1,2,0.001998,0.0036635,-0.8743378922437847
PDA+CAF,Src low,1,1,0.000882,0.00779,-3.1413231717510977
PDA+CAF,control,1,3,0.00029,0.002706,-3.2176038293066798
PDA+CAF,kras low,1,2,0.000564,0.000975,-0.7886302802603359
PDA+CAF,low kras+Src,1,3,0.000888,0.010535,-3.567000021426744
PDA+CAF+MAC,Src low,1,2,5.9e-05,0.0001405,-1.2377676472233639
PDA+CAF+MAC,control,1,2,9e-05,3.7e-05,1.2598671267551111
PDA+CAF+MAC,kras low,1,2,1.8e-05,5.9e-05,-1.6589630821649328
PDA+CAF+MAC,low kras+Src,1,3,0.000183,0.000327,-0.833990048561071
PDA+MAC,Src low,1,1,0.00044,0.002327,-2.4002404973507634
PDA+MAC,control,1,2,0.000206,0.001696,-3.035283892043338
PDA+MAC,kras low,1,3,0.000126,0.000936,-2.883220550887021
PDA+MAC,low kras+Src,1,3,0.00071,0.001321,-0.894800711888276
