well,coculture,compound,has_tcells,nir_area_frac,death_index_tumour,death_index_tcell,nir_on_green_frac,nir_on_orange_frac,nir_on_neither_frac,nir_enrich_organoid,nir_mean_z
A01,PDA,control,no,0.001139,0.08753,0.00271,0.6355,0.0228,0.3417,0.188,7.26
A02,PDA+CAF,control,no,0.007069,0.09907,0.00113,0.629,0.0007,0.3706,53.475,9.6
A03,PDA+MAC,control,no,0.003392,0.04452,0.00467,0.7928,0.0036,0.2046,1.866,7.42
A04,PDA+CAF+MAC,control,no,1.5e-05,0.0,0.00039,0.0,0.0455,0.9545,0.209,3.41
A05,PDA,control,no,0.004822,0.20556,0.00711,0.7816,0.0126,0.2119,0.611,7.15
A06,PDA+CAF,low kras+Src,no,0.010535,0.20145,0.00119,0.5892,0.0005,0.4103,2.174,9.07
A07,PDA+MAC,high kras+Src,yes,0.000699,0.01782,0.00032,0.1163,0.0117,0.8729,1.95,6.61
A08,PDA+CAF+MAC,high kras+Src,yes,5e-06,0.00011,0.0,0.1429,0.0,0.8571,1.043,3.43
B01,PDA,control,yes,0.005583,0.15972,0.00507,0.7076,0.0286,0.2765,0.666,7.47
B02,PDA+CAF,control,yes,0.00029,0.0004,0.00556,0.0376,0.4306,0.5318,0.508,4.44
B03,PDA+MAC,control,yes,0.000206,0.00103,0.00502,0.2152,0.4205,0.3642,2.571,6.08
B04,PDA+CAF+MAC,control,yes,9e-05,0.00018,0.00314,0.0455,0.2955,0.6591,2.342,4.31
B05,PDA,low kras+Src,yes,0.001998,0.06505,0.00329,0.559,0.052,0.3904,1.239,7.94
B06,PDA+CAF,Src low,yes,0.000882,0.01521,0.00466,0.6091,0.0906,0.3003,2.092,6.06
B07,PDA+MAC,kras low,no,0.000989,0.01625,0.00041,0.4972,0.0014,0.5014,0.979,6.64
B08,PDA+CAF+MAC,kras low,no,3.9e-05,0.00061,0.0,0.2456,0.0,0.7544,2.422,9.73
C01,PDA,control,no,0.01212,0.24354,0.01015,0.7081,0.0052,0.2885,1.481,7.41
C02,PDA+CAF,control,no,0.002142,0.01474,0.01138,0.227,0.0398,0.7354,0.175,5.65
C03,PDA+MAC,kras low,yes,0.000126,0.00096,0.0005,0.1514,0.0703,0.7784,0.407,10.25
C04,PDA+CAF+MAC,kras low,yes,1.8e-05,0.00058,0.0,0.7308,0.0,0.2692,0.0,11.16
C05,PDA,high kras+Src,yes,0.00055,0.02299,0.00111,0.1253,0.0509,0.8238,2.699,8.05
C06,PDA+CAF,Src high,yes,0.000212,0.00837,0.00027,0.8871,0.0258,0.0871,0.838,5.71
C07,PDA+MAC,kras low,no,0.000757,0.01535,0.00075,0.5266,0.0018,0.4716,0.784,7.33
C08,PDA+CAF+MAC,kras low,no,7.9e-05,0.00127,0.0,0.2087,0.0,0.7913,0.84,4.53
D01,PDA,kras low,yes,0.002777,0.08807,0.0005,0.6875,0.0052,0.3081,0.44,6.83
D02,PDA+CAF,control,no,0.002706,0.03909,0.00796,0.4402,0.0225,0.5374,2.792,6.16
D04,PDA+CAF+MAC,kras high,yes,1.6e-05,0.0,0.0,0.0,0.0,1.0,3.918,6.87
D05,PDA,low kras+Src,no,0.002157,0.1041,0.00137,0.2989,0.0051,0.696,1.92,6.65
D06,PDA+CAF,low kras+Src,no,0.000986,0.04385,0.00792,0.6711,0.0339,0.295,5.996,4.73
D07,PDA+MAC,Src low,yes,0.00044,0.00856,0.00016,0.7422,0.0078,0.25,0.239,6.06
D08,PDA+CAF+MAC,Src low,yes,5.9e-05,0.0,0.00098,0.0,0.1494,0.8506,0.722,3.22
E01,PDA,kras high,yes,0.00244,0.3518,0.00162,0.4993,0.0185,0.4845,0.922,8.5
E02,PDA+CAF,kras low,no,0.001083,0.02247,0.00103,0.4231,0.0057,0.5712,0.176,7.34
E03,PDA+MAC,Src low,no,0.002327,0.0264,0.00104,0.6134,0.0012,0.3854,3.499,7.12
E04,PDA+CAF+MAC,Src low,no,0.000153,0.00206,0.0,0.2679,0.0,0.7321,0.957,5.67
E05,PDA,control,no,0.0013,0.07438,0.00288,0.7877,0.0168,0.1997,0.378,7.84
E06,PDA+CAF,high kras+Src,yes,0.000307,0.02098,0.00025,0.2756,0.0133,0.7111,0.649,6.06
E07,PDA+MAC,low kras+Src,no,0.001321,0.02607,0.0027,0.3096,0.0052,0.6904,0.856,6.32
E08,PDA+CAF+MAC,Src low,no,0.000128,0.0017,0.00823,0.4149,0.0479,0.5372,2.12,5.23
F01,PDA,Src low,yes,0.005941,0.13352,0.00125,0.7236,0.0066,0.2718,0.689,8.01
F02,PDA+CAF,kras low,yes,0.000564,0.01206,0.00603,0.3317,0.1828,0.4855,0.391,4.93
F03,PDA+MAC,Src high,yes,0.000153,0.00292,0.0,0.6205,0.0,0.3795,5.785,8.03
F04,PDA+CAF+MAC,Src high,yes,2e-05,6e-05,0.0,0.1034,0.0,0.8966,0.622,4.59
F05,PDA,kras low,no,0.000529,0.05463,0.00224,0.854,0.0271,0.124,1.482,5.0
F06,PDA+CAF,kras low,no,0.000867,0.01894,0.0,0.5929,0.0,0.4071,1.091,7.4
F07,PDA+MAC,low kras+Src,no,0.001308,0.02163,0.00608,0.2771,0.0141,0.7088,7.081,6.5
F08,PDA+CAF+MAC,low kras+Src,no,6.6e-05,0.00068,0.00391,0.1354,0.0729,0.7917,0.0,4.26
G01,PDA,Src high,yes,0.004205,0.08396,0.00176,0.6237,0.0093,0.3701,1.084,6.86
G02,PDA+CAF,kras high,yes,0.001262,0.03697,0.03228,0.1466,0.4291,0.4242,0.723,5.01
G03,PDA+MAC,low kras+Src,yes,0.00071,0.00869,0.00122,0.204,0.025,0.7709,5.363,6.07
G04,PDA+CAF+MAC,low kras+Src,yes,0.000183,0.00028,0.00106,0.0299,0.0522,0.9179,2.167,5.47
G05,PDA,control,no,0.001446,0.10112,0.00383,0.7587,0.0156,0.2257,1.304,6.85
G06,PDA+CAF,low kras+Src,yes,0.000888,0.02297,0.00339,0.5619,0.0553,0.3828,18.614,7.12
G07,PDA+MAC,kras low,no,0.000936,0.02039,0.00032,0.5664,0.0007,0.4328,0.902,6.65
G08,PDA+CAF+MAC,low kras+Src,no,0.000327,0.00204,0.00078,0.0814,0.0042,0.9144,0.123,4.07
H01,PDA,control,no,0.001796,0.12799,0.00121,0.7928,0.0057,0.2027,0.04,7.15
H02,PDA+CAF,Src low,no,0.00779,0.13231,0.01122,0.6947,0.0134,0.2937,2.304,7.08
H03,PDA+MAC,control,no,0.0,0.0,0.0,,,,,
H04,PDA+CAF+MAC,control,no,5.9e-05,0.00026,0.00291,0.3793,0.1954,0.4253,0.61,5.07
H05,PDA,low kras+Src,no,0.00517,0.39776,0.00208,0.4784,0.0041,0.5191,0.825,6.53
H06,PDA+CAF,low kras+Src,no,0.023252,0.25403,0.02507,0.6443,0.0043,0.3529,1.815,7.48
H07,PDA+MAC,low kras+Src,no,0.001384,0.03136,0.0,0.3569,0.0,0.6431,0.679,5.18
H08,PDA+CAF+MAC,low kras+Src,no,0.000341,0.01142,0.00046,0.438,0.004,0.558,0.087,5.48
