well,coculture,compound,has_tcells,rate,fold_per_day,start,end,fold_total
A01,PDA,control,no,0.36217349504962376,1.4364481369834832,0.01176,0.05775,4.9107142857142865
A02,PDA+CAF,control,no,0.05004768943916605,1.0513212321004846,0.348,0.55488,1.5944827586206898
A03,PDA+MAC,control,no,0.22218924050569067,1.2488076805015313,0.21799,0.50596,2.3210239001789073
A04,PDA+CAF+MAC,control,no,-0.05934902378336237,0.9423777994863863,0.45793,0.43065,0.940427576267115
A05,PDA,control,no,0.34694860646376413,1.4147440148042287,0.03228,0.13657,4.230793060718711
A06,PDA+CAF,low kras+Src,no,0.20282569396879765,1.2248589493369813,0.31419,0.59739,1.9013654158311848
A07,PDA+MAC,high kras+Src,yes,0.024347714062953222,1.0246465399668225,0.26035,0.28063,1.077895141156136
A08,PDA+CAF+MAC,high kras+Src,yes,0.06830532428713955,1.0706921668999325,0.33028,0.27727,0.8394998183359573
B01,PDA,control,yes,0.26946559209300736,1.309264582397139,0.07165,0.24794,3.4604326587578504
B02,PDA+CAF,control,yes,0.08839446973903532,1.0924189632690526,0.34869,0.59359,1.7023430554360606
B03,PDA+MAC,control,yes,0.4340045678165123,1.54342591818678,0.20873,0.95046,4.553538063527045
B04,PDA+CAF+MAC,control,yes,-0.13195235601493321,0.8763827484512969,0.65981,0.37415,0.5670571831284763
B05,PDA,low kras+Src,yes,0.22059279783469,1.2468156211598587,0.11528,0.37167,3.2240631505898683
B06,PDA+CAF,Src low,yes,0.04554068018895078,1.0465935793725318,0.35386,0.4756,1.3440343638727181
B07,PDA+MAC,kras low,no,0.11767325195284468,1.1248765001127805,0.18666,0.37016,1.9830708239579986
B08,PDA+CAF+MAC,kras low,no,-0.18025770354858728,0.8350549870469944,0.60712,0.28503,0.46947885096850706
C01,PDA,control,no,0.358264200740229,1.4308436004848009,0.05106,0.23618,4.625538582060321
C02,PDA+CAF,control,no,0.30702060252521146,1.359368974217044,0.08655,0.36123,4.173656845753899
C03,PDA+MAC,kras low,yes,0.2694636234171572,1.3092620048821113,0.28978,0.95046,3.2799365035544206
C04,PDA+CAF+MAC,kras low,yes,-0.09795314652936761,0.9066913843968819,0.51068,0.3225,0.6315109266076604
C05,PDA,high kras+Src,yes,0.205168660375212,1.2277321172614848,0.08821,0.25026,2.837093300079356
C06,PDA+CAF,Src high,yes,0.04018108555877657,1.0409992670591666,0.45539,0.41984,0.9219350446869715
C07,PDA+MAC,kras low,no,0.0628269610210101,1.0648425640183052,0.2109,0.32016,1.5180654338549076
C08,PDA+CAF+MAC,kras low,no,-0.19014553753491173,0.8268387891070933,0.44855,0.32396,0.7222383234867908
D01,PDA,kras low,yes,0.18209552080082975,1.1997287874613027,0.09514,0.22581,2.373449653142737
D02,PDA+CAF,control,no,0.31447134718715564,1.369535110959982,0.06468,0.29397,4.544990723562152
D04,PDA+CAF+MAC,kras high,yes,-0.007941354554983057,0.9920900946961525,0.25661,0.41964,1.6353220840964888
D05,PDA,low kras+Src,no,0.26742291010545477,1.3065929008446047,0.04064,0.15596,3.83759842519685
D06,PDA+CAF,low kras+Src,no,0.03940761182994531,1.0401943927890422,0.40742,0.54898,1.3474547150360807
D07,PDA+MAC,Src low,yes,0.26760632779202337,1.3068325750713388,0.24693,0.24757,1.0025918276434618
D08,PDA+CAF+MAC,Src low,yes,-0.1974142372997966,0.8208505359674624,0.64393,0.30594,0.47511375460065536
E01,PDA,kras high,yes,0.16737555164619308,1.18219815841527,0.07525,0.19614,2.606511627906977
E02,PDA+CAF,kras low,no,0.25183998607605634,1.2863901804748015,0.11177,0.39223,3.5092600876800577
E03,PDA+MAC,Src low,no,0.1455877308300454,1.1567192100672883,0.25952,0.95046,3.6623766954377315
E04,PDA+CAF+MAC,Src low,no,-0.18694721745923826,0.8294875176886632,0.62351,0.38074,0.6106397652002374
E05,PDA,control,no,0.40604494559225196,1.5008700084335065,0.02324,0.1478,6.3597246127366605
E06,PDA+CAF,high kras+Src,yes,0.1370777158560642,1.1469172787150888,0.19735,0.3299,1.6716493539397013
E07,PDA+MAC,low kras+Src,no,0.12017810104414645,1.1276976778290653,0.21294,0.95046,4.463510848126233
E08,PDA+CAF+MAC,Src low,no,-0.14007376855114378,0.8692941064667338,0.53352,0.37374,0.7005173189383717
F01,PDA,Src low,yes,0.2699249278306719,1.3098661125514646,0.07032,0.25618,3.6430602957906717
F02,PDA+CAF,kras low,yes,0.058820699642455884,1.0605850604104303,0.41029,0.50883,1.2401715859514002
F03,PDA+MAC,Src high,yes,0.31447597965249313,1.369541455298607,0.2202,0.95046,4.316348773841962
F04,PDA+CAF+MAC,Src high,yes,-0.019027919119162,0.9811519689616722,0.46769,0.45838,0.9800936517778871
F05,PDA,kras low,no,0.3512032073199436,1.4207760086649386,0.0247,0.10921,4.421457489878542
F06,PDA+CAF,kras low,no,-0.04605112981269267,0.9549931323224158,0.55323,0.53202,0.961661515102218
F07,PDA+MAC,low kras+Src,no,0.20153560002667395,1.2232797850806285,0.27276,0.95046,3.4846018477782663
F08,PDA+CAF+MAC,low kras+Src,no,-0.2436482360031718,0.7837632854838016,0.70561,0.30648,0.43434758577684557
G01,PDA,Src high,yes,0.2749022710919255,1.3164020180491678,0.06532,0.24339,3.726117575015309
G02,PDA+CAF,kras high,yes,-0.013369429778252404,0.9867195440966892,0.45906,0.36225,0.7891125343092407
G03,PDA+MAC,low kras+Src,yes,0.3780718127548992,1.4594677475122322,0.1924,0.95046,4.94002079002079
G04,PDA+CAF+MAC,low kras+Src,yes,-0.058620853409078036,0.9430642609814854,0.35269,0.46065,1.3061045110436929
G05,PDA,control,no,0.12305130346668733,1.130942440727002,0.12316,0.19767,1.604985384865216
G06,PDA+CAF,low kras+Src,yes,0.12219055334380234,1.1299694007144017,0.32217,0.47471,1.4734767358847813
G07,PDA+MAC,kras low,no,0.03437352523489964,1.0349711223685483,0.27298,0.40556,1.485676606344787
G08,PDA+CAF+MAC,low kras+Src,no,-0.1604829195290473,0.8517323714377384,0.55685,0.31842,0.5718236508934184
H01,PDA,control,no,0.34774415547725895,1.415869960822792,0.01957,0.08628,4.408788962698007
