well,coculture,compound,has_tcells,rate,fold_per_day,start,end,fold_total
A01,PDA,control,no,0.18478820747061417,1.2029636344347807,0.00398,0.00827,2.077889447236181
A02,PDA+CAF,control,no,0.22405154893512383,1.2511355124694377,0.01977,0.04488,2.2701062215478
A03,PDA+MAC,control,no,0.32253407706042725,1.380621937595156,0.018283,0.060403,3.303779467264672
A04,PDA+CAF+MAC,control,no,0.29916306894464306,1.3487295414444598,0.011858,0.037306,3.1460617304773146
A05,PDA,control,no,0.24856470834051475,1.2821837876701427,0.006856,0.018335,2.6742998833138856
A06,PDA+CAF,low kras+Src,no,0.20868608305297218,1.2320581738775203,0.016114,0.030812,1.9121261015266229
A07,PDA+MAC,high kras+Src,yes,-0.3505845780362394,0.7042762649226575,0.014511,0.00456,0.3142443663427744
A08,PDA+CAF+MAC,high kras+Src,yes,-0.1849559891676145,0.8311408622483741,0.009064,0.005965,0.6580979699911739
B01,PDA,control,yes,0.19819570556450902,1.2192009748901007,0.0107,0.024735,2.3116822429906545
B02,PDA+CAF,control,yes,0.24845486712122108,1.282042958774097,0.014445,0.027351,1.8934579439252337
B03,PDA+MAC,control,yes,0.31108012021414627,1.3648985727714051,0.015371,0.043087,2.8031357751610178
B04,PDA+CAF+MAC,control,yes,0.18370826776302543,1.2016652074767769,0.013632,0.022921,1.6814113849765258
B05,PDA,low kras+Src,yes,0.11433007387697211,1.1211221169421357,0.01162,0.017165,1.477194492254733
B06,PDA+CAF,Src low,yes,0.25861186681010245,1.295131023925731,0.015774,0.035342,2.240522378597692
B07,PDA+MAC,kras low,no,0.3131332442123227,1.3677037574968829,0.010947,0.030258,2.764044943820225
B08,PDA+CAF+MAC,kras low,no,0.10330164563985632,1.108825831112312,0.009775,0.01565,1.6010230179028133
C01,PDA,control,no,0.2455995394413269,1.2783875272380483,0.013593,0.035239,2.592437283896123
C02,PDA+CAF,control,no,0.4562006087450294,1.578066887032623,0.00663,0.032996,4.976772247360483
C03,PDA+MAC,kras low,yes,0.14992839161601143,1.1617510486344316,0.012566,0.01984,1.5788636001909915
C04,PDA+CAF+MAC,kras low,yes,0.19853806703906174,1.219618453793909,0.009663,0.022303,2.308082376073683
C05,PDA,high kras+Src,yes,-0.28529752987841245,0.7517905408920953,0.008414,0.003001,0.35666745899690994
C06,PDA+CAF,Src high,yes,0.11753438610592669,1.1247203040303158,0.016599,0.022451,1.3525513585155733
C07,PDA+MAC,kras low,no,0.22732341887778626,1.255235769242515,0.013294,0.025988,1.954866857228825
C08,PDA+CAF+MAC,kras low,no,0.10728140445996635,1.1132474832120995,0.00794,0.012907,1.6255667506297231
D01,PDA,kras low,yes,0.14407504075871083,1.1549707751563647,0.010763,0.021681,2.0144011892595
D02,PDA+CAF,control,no,0.4569932479066449,1.5793182205093774,0.00589,0.030466,5.172495755517827
D04,PDA+CAF+MAC,kras high,yes,-0.2336084596989613,0.7916717266065174,0.00982,0.00474,0.48268839103869654
D05,PDA,low kras+Src,no,0.01870273125588879,1.0188787227961222,0.00585,0.006193,1.0586324786324786
D06,PDA+CAF,low kras+Src,no,0.10630151849375592,1.1121571619088946,0.013854,0.01509,1.0892161108705067
D07,PDA+MAC,Src low,yes,0.3339794513256741,1.3965144467591077,0.012264,0.038114,3.107795172863666
D08,PDA+CAF+MAC,Src low,yes,0.192123699837813,1.2118204096819931,0.01108,0.022837,2.061101083032491
E01,PDA,kras high,yes,-0.3616696398707749,0.6965124297743409,0.010933,0.003463,0.3167474618128601
E02,PDA+CAF,kras low,no,0.3499309738802899,1.418969599247342,0.005818,0.020394,3.5053282915091093
E03,PDA+MAC,Src low,no,0.3888225512114111,1.4752427480668866,0.014214,0.054058,3.8031518221471794
E04,PDA+CAF+MAC,Src low,no,0.1291554353830368,1.1378669752100574,0.010668,0.019905,1.8658605174353204
E05,PDA,control,no,0.2334448936109814,1.2629432297323528,0.005698,0.013763,2.415408915408915
E06,PDA+CAF,high kras+Src,yes,-0.26606093529695585,0.766392425728094,0.011864,0.004035,0.3401045178691841
E07,PDA+MAC,low kras+Src,no,0.165685147524708,1.1802014538701286,0.010793,0.015689,1.4536273510608728
E08,PDA+CAF+MAC,Src low,no,0.2544991631222699,1.2898154719249788,0.011375,0.031317,2.753142857142857
F01,PDA,Src low,yes,0.26269368801171933,1.3004283211531595,0.010992,0.032197,2.929130276564775
F02,PDA+CAF,kras low,yes,0.156143223821171,1.1689936188336354,0.010381,0.01551,1.4940757152490127
F03,PDA+MAC,Src high,yes,0.26007142259016036,1.297022720079838,0.013368,0.032455,2.427812687013764
